mediaid,tags
2c12f,[]
2c09d,[]
2c3hh,[]
2bw9n,[]
23383,"[u'psychedelic rock', u'psychedelic', u'indie rock', u'australian', u'rock']"
2bxcb,[]
2asey,"[u'bombelki', u'indie', u'alternative rock', u'indie rock', u'alternative', u'epic', u'perfect', u'2013', u'2013 single', u'hammer stimmer']"
2c321,[]
2b5c3,"[u'female vocalist', u'indie', u'indie pop', u'pop', u'alternative']"
v55s,"[u'amazing cover', u'acoustic', u'cover', u'great coverversion']"
27nrm,"[u'indie', u'dreampop', u'noise', u'shoegaze', u'post-punk', u'darkwave', u'indie pop', u'british', u'schlau machen', u'bands we like']"
1hcvp,"[u'dreampop', u'post-punk', u'2010s', u'shoegaze']"
r65a,"[u'canadian', u'hip hop', u'good hip hop', u'shit is official', u'canadian hip hop', u'summer', u'heisse scheibe', u'catchy as shit', u'ill track', u'top quality']"
2bz99,[]
2ba6t,[]
2bxjv,[]
1y3jj,[]
2b5pr,[]
2b54c,[]
2b9zs,[]
28h1t,[]
2aybj,[]
2c063,[]
2bznk,"[u'deep house', u'house', u'progressive house', u'downtempo', u'electronic']"
23px8,[]
2azcr,[]
2b0gs,"[u'club', u'house', u'dance', u'electronic', u'romanian']"
1f5yf,"[u'rap', u'hip hop', u'2011', u'relaxed', u'chill as fuck', u'philadelphia', u'2010s', u'def jam', u'best of 2011']"
1ffe4,[u'remix']
2bq1c,[]
2bzr3,[]
2c0y2,[]
23c5d,[]
2c08j,[]
2c0vf,[]
2bzxz,[]
2c0xq,[]
2c0ae,[]
2c15e,"[u'indie', u'indie rock', u'american', u'hard-pop', u'los angeles', u'power pop']"
2c1vt,[]
26mqp,[]
26xhz,[u'pop']
22ky1,[]
21kgk,"[u'indie', u'british', u'indie rock', u'alternative', u'indie pop']"
24s65,"[u'experimental', u'throat singing', u'inuit', u'throat singer', u'female vocalist', u'nunavut', u'inuit throat singer', u'love', u'canada']"
285hh,[]
239bn,[]
27x6p,[]
emqs,"[u'indie', u'alternative', u'indie rock', u'rock', u'alternative rock', u'psychedelic', u'experimental']"
wm2h,"[u'remix', u'indie', u'alternative', u'chill groove', u'2-step', u'electronica', u'indie rock', u'00s', u'funky', u'folk']"
kabk,"[u'indie', u'pop', u'indie pop', u'sweet', u'cute', u'female vocalist', u'ipod', u'electronic', u'happy', u'chairlift']"
xbmh,"[u'funk', u'soul', u'rock', u'indie', u'summer 2011 playlist', u'funk rock', u'carefree', u'stripper tune', u'full stops', u'sexy']"
1agyw,"[u'remix', u'foster the people', u'the knocks', u'dance', u'electronic', u'pop', u'indie rock']"
112sm,[]
26ngg,[]
26vjs,[]
26qkp,"[u'electronic', u'idm', u'ambient', u'experimental', u'electronica']"
23hn5,[]
vc74,"[u'trippy', u'powerful', u'awesome']"
26w7s,"[u'ambient', u'electronic', u'chillwave', u'chillout', u'australian']"
26tvt,[]
26vkp,"[u'post-soul', u'coachella', u'guardian new music']"
26px0,[]
26tvp,[]
1g7c9,[]
236d7,"[u'indie', u'indie pop']"
1f3cm,"[u'mix', u'mashup', u'mash-up', u'hip hop', u'blip-hop', u'remix', u'not hip hop', u'dj', u'mashcore', u'beat']"
1z1vr,"[u'electronic', u'chillstep']"
205r0,[]
1gght,[]
22m26,[u'jungle']
236tz,[]
207bj,"[u'rap', u'hip hop', u'eminem']"
1kt18,[]
1m1ve,[]
1m1ef,"[u'folk', u'acoustic', u'singer-songwriter', u'british', u'indie folk']"
1m13r,"[u'indie', u'indie pop', u'australian', u'electronic', u'synthpop', u'folktronic', u'electro', u'folktronica', u'electropop', u'indietronic']"
1m0jt,"[u'electronic', u'downtempo', u'funk', u'chill', u'dance']"
1m044,"[u'ambient', u'electronica', u'club', u'retro electro', u'lo-fi', u'chill', u'trippy', u'remix', u'indie rock', u'nu-disco']"
1kbcn,[]
1ebcm,"[u'mashup', u'electronic']"
1dfpn,"[u'electronic', u'funk', u'electro', u'dance', u'electronica']"
1dw12,"[u'hip hop', u'rap', u'yonas rapper', u'fusion', u'new york', u'yonas', u'yonas music', u'soul', u'dance', u'music']"
1gh6m,[]
1fg49,[]
1f4xt,[]
1e9hp,[u'bev g']
1b7px,"[u'nashville', u'alt-country', u'indie', u'pay attention', u'recommended', u'kickasstic', u'americana']"
1b93s,"[u'alt-country', u'acoustic', u'tonder festival 2008', u'tipicos topicos', u'folk']"
1bbdw,"[u'folk rock', u'singer-songwriter', u'alt-country', u'seattle', u'northwest', u'americana']"
16s1w,"[u'nashville', u'alt-country', u'indie', u'pay attention', u'recommended', u'kickasstic', u'americana']"
1bdkb,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1aavz,[u'acerbic']
1achw,"[u'singer-songwriter', u'folk', u'alt-country', u'folk rock', u'80s']"
vmm7,"[u'folk', u'indie', u'indie folk', u'alt-country', u'alternative folk', u'male vocalists', u'indie rock', u'folk rock', u'country folk indie', u'rock']"
1bdk2,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdjt,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
17zay,[u'mfnw']
1bdk0,[]
19jvd,[]
yj17,"[u'indie', u'indie rock', u'alt-country', u'rock', u'alternative']"
ma8d,"[u'british i like', u'favs4265', u'great remix', u'summer', u'indie dance', u'radio', u'other level', u'nix partly', u'candidate', u'premium']"
1h189,[]
1b8y2,[]
1b6a2,"[u'house', u'progressive house', u'electronic']"
19qx6,"[u'chill', u'chillstep', u'calm', u'dubstep', u'soothing']"
1b4ry,"[u'house', u'acid']"
18cmr,[]
179kx,"[u'indie', u'icelandic', u'alternative', u'folk', u'female vocalist', u'check out', u'lo-fi', u'radioparadise', u'radio paradise', u'2012']"
zwnr,"[u'indie', u'indie pop', u'catchy', u'summer', u'happy', u'indie rock', u'alternative', u'pop', u'foster the people', u'awesome']"
17610,"[u'chillwave', u'indie', u'indie pop', u'2010s', u'best of 2011', u'pop', u'rock', u'carpark', u'indie rock', u'2011']"
17pk5,"[u'hip hop', u'rap', u'underground hip hop', u'pittsburgh']"
1dwf0,[]
1fg3p,"[u'hip hop', u'rap', u'underground rap', u'underground hip hop', u'toronto', u'canadian']"
18a02,"[u'hip hop', u'rocket shoes mixtapes']"
1ba1n,"[u'alt-country', u'americana', u'singer-songwriter', u'southern rock', u'southern rawbilly', u'post amoeba', u'christian', u'post grunge folk', u'post post', u'post core']"
12138,[]
12gk7,[]
121k0,[]
11zec,[]
12hca,[]
14c8p,[]
98wz,[]
11fnw,[]
11akb,[]
11egv,"[u'hip hop', u'rap', u'dirty south']"
10s43,[]
vchz,[u'me']
10dfz,"[u'mashup', u'2010s', u'hip hop']"
tbhd,[]
107z7,[]
n6m3,"[u'folk', u'indie folk', u'indie', u'british', u'acoustic', u'banjo', u'bluegrass', u'catchy', u'2009', u'folk rock']"
wtrs,[]
w912,[]
c520,"[u'indie', u'french', u'indie pop', u'pop', u'indie rock', u'electronic', u'alternative', u'chill', u'sweet', u'rock']"
p8k5,"[u'indie', u'dance', u'electronic', u'riding-my-bike', u'fifa 2010s', u'alternative', u'fav bass lines', u'fotomotor-work', u'best of 2009', u'whitest boy alive']"
x834,[]
tn1m,"[u'relax', u'lo-fi', u'indie', u'keep the fate', u'rock', u'alternative', u'experimental']"
r3xt,"[u'mashup', u'weird', u'00s', u'hip hop']"
vm5p,[]
bfyh,"[u'indie', u'indie rock', u'band of horses', u'beautiful', u'melancholy', u'rock', u'alternative', u'one tree hill', u'mellow', u'american']"
trt6,[]
p8gq,"[u'audioase', u're-re-re-re-re-mixed songs', u'epicness', u'2k9 mix', u'-fly away-']"
q92d,"[u'rap', u'hip hop', u'eminem']"
t624,"[u'electro', u'electronic', u'dance', u'italian', u'indie']"
tg8y,[]
scx3,"[u'electro', u'electronic', u'boys noize', u'dance', u'electro house', u'gute laune', u'german', u'party', u'nurave', u'ohfuck']"
1cjz9,"[u'electronic', u'ambient', u'shoegaze', u'electronica', u'beautiful', u'dreampop', u'chillout', u'post-rock', u'indie', u'dreamy']"
symq,[]
t6xv,[]
10tpe,[]
t9ww,"[u'electronic', u'breakbeat', u'electro', u'breaks']"
spj8,"[u'electronic', u'ambient', u'trance', u'house', u'dance', u'netlabel']"
hptp,[u'cover']
srm4,[]
ptrz,"[u'electronic', u'chillout', u'norwegian', u'electronica', u'r\xf6yksopp', u'indie', u'trip-hop']"
rp9h,"[u'electronic', u'electropop', u'delicious', u'electro', u'house', u'downtempo', u'techno', u'disco', u'fav', u'electronica']"
sq3a,"[u'ambient', u'post rock', u'instrumental', u'post-rock', u'new age', u'chancer', u'cool', u'mateuszbestsongseva', u'exogaze', u'sadandslow']"
sqqv,[]
